,JobTitle,Company,Location,Summary,Salary,SalaryType,City,State,Salary Lower,Salary Higher,Salary Average
0,Data Scientist,CyberCoders,"Aurora, CO","This position is open as of 10/18/2016. Data Scientist - Relocation to Salt Lake City, UT If you are a Data Scientist - willing to relocate to SALT LAKE CITY, UT (assistance provided) - with experience, please read on! Location: Salt Lake City, UT Salary...","[ 90 ,  120]",Y,Aurora,CO,90000.0,120000.0,105000.0
1,Senior Data Engineer (Python),CyberCoders,"Aurora, CO","This position is open as of 10/18/2016. Senior Data Engineer (Python) Based in the Denver, CO area, we are one of the most innovative and ""Fast Growing"" Health technology companies in the area. With access to the most advanced technologies, our team is co...","[ 110 ,  150]",Y,Aurora,CO,110000.0,150000.0,130000.0
2,Senior Scientist (Proteins),Kelly Scientific Resources,"Chaska, MN","Senior Development Scientist –Southwest Minneapolis, MN Kelly Services is currently seeking a Senior Development Scientist for one of our top clients outside of Minneapolis, MN. This is a direct hire position. As a Senior Development Scientist you will se...","[ 60 ,  65 ]",Y,Chaska,MN,60000.0,65000.0,62500.0
3,Data Scientist- Solutions Architect,CyberCoders,"Atlanta, GA","This position is open as of 10/18/2016. Data Scientist- Solutions Architect If you are a Data Scientist with client facing experience, send me a resume and please read on! Our Big Data Analytics firm was founded by a team of successful startup founders, D...","[ 150 ,  175]",Y,Atlanta,GA,150000.0,175000.0,162500.0
4,Data Scientist / Practitioner,Big Wednesday Digital,"Atlanta, GA","We're Hiring Data Scientists - Practitioner - to join our client in Bangkok, Thailand! Requirements: Do you have what it takes? Able to move to Bangkok, Thailand in the heart of Asia - full relocation and visa provided At least 2 years working as a statis...","[ 55 ,  125]",Y,Atlanta,GA,55000.0,125000.0,90000.0
5,Manufacturing Technical Support Scientist,Aerotek,"Norcross, GA","Manager is looking for an instrument operator who will perform maintenance, load samples (reagents) and conduct testing. Contract worker will also be responsible for tracking documents GENERAL PURPOSE OF JOB Performs a variety of tasks associated with the...",[ 21.00],H,Norcross,GA,43680.0,43680.0,43680.0
6,UI Developer (D3.JS),,"Alpharetta, GA","UI Developer (D3.JS) Skills : D3.JS, Love of UI/UX, JavaScript, HTML5, Responsive Web Design, Angular.js (or similar) Pay : Flexible contract rate Duration : 6+ months Location : Alpharetta, GA w/ Telecommute Options (could be remote for non-local candida...","[ 60.00 ,  70.00]",H,Alpharetta,GA,124800.0,145600.0,135200.0
7,Data Scientist,CyberCoders,"Salt Lake City, UT","This position is open as of 10/18/2016. Data Scientist - Emerging Digital Finance Company Are you a Data Scientist who's mind is as analytical as Tyrion Lannister's is witty? If so, read on and apply today! Location: Salt Lake City, UT Salary Range: $80-1...","[ 80 ,  120]",Y,Salt Lake City,UT,80000.0,120000.0,100000.0
8,Data Scientist,"TEKsystems, Inc","Salt Lake City, UT","Top 3 Skills: 3 years experiecnce manipulating large and/or complex data sets. 3 years experience with SQL. Expereince using R, Python, SAS to explore aggregat or profile data. Job Description: The role will have the candidate follow the data. The candida...","[ 45.00 ,  75.00]",H,Salt Lake City,UT,93600.0,156000.0,124800.0
9,Chief Data Scientist,CyberCoders,"Salt Lake City, UT","This position is open as of 10/18/2016. Chief Data Scientist - R, Python, Matlab If you are a Chief Data Scientist with experience, please read on! Based in Salt Lake City, this exciting new position will join one of the fastest growing specialty finance...","[ 130 ,  150]",Y,Salt Lake City,UT,130000.0,150000.0,140000.0
10,SQL Developer / Database Engineer,ConsultNet,"Draper, UT","SQL Developer / Database Engineer Contract to Hire Salt Lake City, Utah Pay commensurate with experience Job Brief: Work with a group of other developers, DBA's, data scientists and other creative thinkers who are contributing to the emerging technologies...","[ 45.00 ,  60.00]",H,Draper,UT,93600.0,124800.0,109200.0
11,Mechanical Engineer,,"South Salt Lake, UT",Company Description Quartzdyne designs and manufactures the industry-standard quartz pressure transducer and monitoring tools for the downhole oil and gas industry. Quartzdyne is also well known for its rugged hybrid electronics for high-reliability under...,"[ 65 ,  80]",Y,South Salt Lake,UT,65000.0,80000.0,72500.0
12,Clinical Development Scientist,,"Philadelphia, PA","Alphanumeric is hiring a Clinical Development Scientist to work with one of the largest pharmaceutical companies in the world. This position can be based in Upper Providence, Upper Merion or RTP Key Responsiblities: Support the successful migration of cli...","[ 49.00 ,  57.00]",H,Philadelphia,PA,101920.0,118560.0,110240.0
13,Machine Learning Scientist,CyberCoders,"Philadelphia, PA","This position is open as of 10/18/2016. Machine Learning Scientist - Tech Co. Revolutionizing Learning If you are a Machine Learning Scientist with a Master's degree, please read on! Our team develops breakthrough technology for personalized learning! We...","[ 130 ,  160]",Y,Philadelphia,PA,130000.0,160000.0,145000.0
14,Patient Safety Scientist,Kelly Scientific Resources,"Wilmington, DE","Patient Safety Associate – Support (Systems) – 3 month contract Kelly Clinical and a world renown pharmaceutical company is looking for the right fit for a Patient Safety Scientist in Wilmington, DE for a 3 month contract. Contribute to scientific, techni...","[ 0 ,  74 ]",Y,Wilmington,DE,74000.0,74000.0,74000.0
15,Molecular Biologist,Aerotek,"West Chester, PA","Our client, is a leading CRO that is looking to add a talented Molecular Biologist to their growing Molecular team. Summary of the role: Planning and conducting experiments under the direction of a senior scientist Conducting studies on molecular cloning...","[ 40 ,  65]",Y,West Chester,PA,40000.0,65000.0,52500.0
16,Analytics Consultant / Strategist,Johnson Service Group,"Philadelphia, PA",We have an immediate openings for Analytics Strategist in Philadelphia PA or RTP NC. This position is approved for 3 monts and could be extended. Pay rate: Highly competitive 5 + years of experience in digital and CRM analytics. Analytics Strategist SME t...,"[ 80.00 ,  120.00]",H,Philadelphia,PA,166400.0,249600.0,208000.0
17,Data Scientist,"TEKsystems, Inc","Baltimore, MD","TEKsystems' client is looking for a data scientist to mine their systems for fraud within the healthcare industry. The contractor shall construct necessary software assets to execute models, including building specialized analytics data stores, databases...","[ 40.00 ,  50.00]",H,Baltimore,MD,83200.0,104000.0,93600.0
18,Data Scientist,Aerotek,"Arlington, VA","Now hiring Data Scientists on DARPA's Net Defense team! 60% data mining and modeling (python, R, moving files in Linux/Unix environment) 30% visualization - making data models visual and presentable 10% team meetings This candidate will be supporting DARP...","[ 10 ,  150]",Y,Arlington,VA,10000.0,150000.0,80000.0
19,"Junior Data Scientist - global eCommerce - Bangkok, Thailand",,"Baltimore, MD",Junior Data Scientist - global eCommerce leader (BASED IN Bangkok/Thailand) - FULL RELOCATION PACKAGE AVAILABLE FOR OVERSEAS CANDIDATES Requirements: Do you have what it takes? * At least 2 years working as a statistician / analyst / data scientist (with...,"[ 0 ,  100]",Y,Baltimore,MD,100000.0,100000.0,100000.0
20,Associate Data Science,Sancus Associates,"District of Columbia, DC","Associate Data Scientist AdTech $125,000-150,000 New York, NY/ Washington, D.C A mid sized Adtech frim with offices in New York and Washington D.C is looking to bring on an associate to join the well established team. If you are looking to make the next s...","[ 125 ,  150]",Y,District of Columbia,DC,125000.0,150000.0,137500.0
21,Data Warehouse Analyst,Robert Half Technology,"Washington, DC","Ref ID: 04510-0008878026 Classification: Database Analyst Compensation: $100,000.00 to $130,000.00 per year Our client seeks a Data Scientist for a full time opportunity in Washington, DC: The Data Scientist will lead efforts for gathering and analyzing d...","[ 100 ,  130]",Y,Washington,DC,100000.0,130000.0,115000.0
22,Senior Data Engineer - Streaming Analytics,CyberCoders,"Alexandria, VA","This position is open as of 10/18/2016. Senior Data Engineer - Streaming Analytics Leveraging 25 years of leadership in sensor technology, we are pioneering sensor analytics solutions that create operational intelligence from the Internet of things. Apply...","[ 75 ,  160]",Y,Alexandria,VA,75000.0,160000.0,117500.0
23,Software Engineer,,"Washington, DC, MD","Acquisition Technologies, Inc., aVirginia based Engineering and Management solutions firm is currently seeking SoftwareEngineers to support NASA’s EOSDIS Evolution and Development 2 (EED-2) Projectin its mission to provide scientist and other users wit...","[ 75 ,  130]",Y,Washington,MD,75000.0,130000.0,102500.0
24,Project Manager,,"1705 Desales Street NorthwestWashington, DC","Analytica is seeking a Project Manager to join its Data Management & Analytics team supporting Federal Health Care (HHS/ CMS/ DHA / VA) practice. Projects in our Data Management & Analytics team include managing software, system engineering, data manageme...","[ 80 ,  135]",Y,1705 Desales Street NorthwestWashington,DC,80000.0,135000.0,107500.0
25,Data Scientist,CyberCoders,"Salt Lake City, UT","This position is open as of 10/18/2016. Data Scientist - Emerging Digital Finance Company Are you a Data Scientist who's mind is as analytical as Tyrion Lannister's is witty? If so, read on and apply today! Location: Salt Lake City, UT Salary Range: $80-1...","[ 80 ,  120]",Y,Salt Lake City,UT,80000.0,120000.0,100000.0
26,Data Scientist,"TEKsystems, Inc","Salt Lake City, UT","Top 3 Skills: 3 years experiecnce manipulating large and/or complex data sets. 3 years experience with SQL. Expereince using R, Python, SAS to explore aggregat or profile data. Job Description: The role will have the candidate follow the data. The candida...","[ 45.00 ,  75.00]",H,Salt Lake City,UT,93600.0,156000.0,124800.0
27,Chief Data Scientist,CyberCoders,"Salt Lake City, UT","This position is open as of 10/18/2016. Chief Data Scientist - R, Python, Matlab If you are a Chief Data Scientist with experience, please read on! Based in Salt Lake City, this exciting new position will join one of the fastest growing specialty finance...","[ 130 ,  150]",Y,Salt Lake City,UT,130000.0,150000.0,140000.0
28,SQL Developer / Database Engineer,ConsultNet,"Draper, UT","SQL Developer / Database Engineer Contract to Hire Salt Lake City, Utah Pay commensurate with experience Job Brief: Work with a group of other developers, DBA's, data scientists and other creative thinkers who are contributing to the emerging technologies...","[ 45.00 ,  60.00]",H,Draper,UT,93600.0,124800.0,109200.0
29,Mechanical Engineer,,"South Salt Lake, UT",Company Description Quartzdyne designs and manufactures the industry-standard quartz pressure transducer and monitoring tools for the downhole oil and gas industry. Quartzdyne is also well known for its rugged hybrid electronics for high-reliability under...,"[ 65 ,  80]",Y,South Salt Lake,UT,65000.0,80000.0,72500.0
