,Survived,Sex,Pclass,Age,SibSp,Parch,Fare,Embarked,scaled_fare,scaled_age
0,0,male,3,22.0,1,0,7.25,S,-0.500239751089,-0.563674066475
1,1,female,1,38.0,1,0,71.2833,C,0.788946607906,0.669216957678
2,1,female,3,26.0,0,0,7.925,S,-0.486649934661,-0.255451310437
3,1,female,1,35.0,1,0,53.1,S,0.422861112991,0.438049890649
4,0,male,3,35.0,0,0,8.05,S,-0.484133301989,0.438049890649
5,0,male,3,28.0,0,0,8.4583,Q,-0.475912973029,-0.101339932418
6,0,male,1,54.0,0,0,51.8625,S,0.397946449538,1.90210798183
7,0,male,3,2.0,3,1,21.075,S,-0.221900177569,-2.10478784667
8,1,female,3,27.0,0,2,11.1333,S,-0.422057033849,-0.178395621427
9,1,female,2,14.0,1,0,30.0708,C,-0.0407871840446,-1.18011957855
10,1,female,3,4.0,1,1,16.7,S,-0.309982321088,-1.95067646865
11,1,female,1,58.0,0,0,26.55,S,-0.111671666536,2.21033073787
12,0,male,3,20.0,0,0,8.05,S,-0.484133301989,-0.717785444494
13,0,male,3,39.0,1,5,31.275,S,-0.0165429515358,0.746272646687
14,0,female,3,14.0,0,0,7.8542,S,-0.488075355406,-1.18011957855
15,1,female,2,55.0,0,0,16.0,S,-0.324075464051,1.97916367084
16,0,male,3,2.0,4,1,29.125,Q,-0.0598290334938,-2.10478784667
17,1,male,2,28.0,0,0,13.0,S,-0.384474648179,-0.101339932418
18,0,female,3,31.0,1,0,18.0,S,-0.2838093413,0.129827134611
19,1,female,3,28.0,0,0,7.225,C,-0.500743077624,-0.101339932418
20,0,male,2,35.0,0,0,26.0,S,-0.122744850293,0.438049890649
21,1,male,2,34.0,0,0,13.0,S,-0.384474648179,0.360994201639
22,1,female,3,15.0,0,0,8.0292,Q,-0.484552069665,-1.10306388954
23,1,male,1,28.0,0,0,35.5,S,0.0685192327769,-0.101339932418
24,0,female,3,8.0,3,1,21.075,S,-0.221900177569,-1.64245371261
25,1,female,3,38.0,1,5,31.3875,S,-0.014277982131,0.669216957678
26,0,male,3,28.0,0,0,7.225,C,-0.500743077624,-0.101339932418
27,0,male,1,19.0,3,2,263.0,S,4.64879069577,-0.794841133503
28,1,female,3,28.0,0,0,7.8792,Q,-0.487572028872,-0.101339932418
29,0,male,3,28.0,0,0,7.8958,S,-0.487237820053,-0.101339932418
30,0,male,1,40.0,0,0,27.7208,C,-0.0880998782777,0.823328335697
31,1,female,1,28.0,1,0,146.5208,C,2.30370781317,-0.101339932418
32,1,female,3,28.0,0,0,7.75,Q,-0.490173220401,-0.101339932418
33,0,male,2,66.0,0,0,10.5,S,-0.434807301618,2.82677624994
34,0,male,1,28.0,1,0,82.1708,C,1.00814531363,-0.101339932418
35,0,male,1,42.0,1,0,52.0,S,0.400714745478,0.977439713716
36,1,male,3,28.0,0,0,7.2292,C,-0.500658518766,-0.101339932418
37,0,male,3,21.0,0,0,8.05,S,-0.484133301989,-0.640729755484
38,0,female,3,18.0,2,0,18.0,S,-0.2838093413,-0.871896822513
39,1,female,3,14.0,1,0,11.2417,C,-0.419874609996,-1.18011957855
40,0,female,3,40.0,1,0,9.475,S,-0.455443689528,0.823328335697
41,0,female,2,27.0,1,0,21.0,S,-0.223410157172,-0.178395621427
42,0,male,3,28.0,0,0,7.8958,C,-0.487237820053,-0.101339932418
43,1,female,2,3.0,1,2,41.5792,C,0.190912139493,-2.02773215766
44,1,female,3,19.0,0,0,7.8792,Q,-0.487572028872,-0.794841133503
45,0,male,3,28.0,0,0,8.05,S,-0.484133301989,-0.101339932418
46,0,male,3,28.0,1,0,15.5,Q,-0.334141994739,-0.101339932418
47,1,female,3,28.0,0,0,7.75,Q,-0.490173220401,-0.101339932418
48,0,male,3,28.0,2,0,21.6792,C,-0.209735781886,-0.101339932418
49,0,female,3,18.0,1,0,17.8,S,-0.287835953575,-0.871896822513
50,0,male,3,7.0,4,1,39.6875,S,0.152826427288,-1.71950940162
51,0,male,3,21.0,0,0,7.8,S,-0.489166567333,-0.640729755484
52,1,female,1,49.0,1,0,76.7292,C,0.898589246852,1.51682953678
53,1,female,2,29.0,1,0,26.0,S,-0.122744850293,-0.0242842434081
54,0,male,1,65.0,0,1,61.9792,C,0.601626591559,2.74972056093
55,1,male,1,28.0,0,0,35.5,S,0.0685192327769,-0.101339932418
56,1,female,2,21.0,0,0,10.5,S,-0.434807301618,-0.640729755484
57,0,male,3,28.5,0,0,7.2292,C,-0.500658518766,-0.0628120879129
58,1,female,2,5.0,1,2,27.75,S,-0.0875119928855,-1.87362077964
59,0,male,3,11.0,5,2,46.9,S,0.298036132461,-1.41128664558
60,0,male,3,22.0,0,0,7.2292,C,-0.500658518766,-0.563674066475
62,0,male,1,45.0,1,0,83.475,S,1.03440285228,1.20860678074
63,0,male,3,4.0,3,2,27.9,S,-0.0844920336791,-1.95067646865
64,0,male,1,28.0,0,0,27.7208,C,-0.0880998782777,-0.101339932418
65,1,male,3,28.0,1,1,15.2458,C,-0.339259818941,-0.101339932418
66,1,female,2,29.0,0,0,10.5,S,-0.434807301618,-0.0242842434081
67,0,male,3,19.0,0,0,8.1583,S,-0.481952891442,-0.794841133503
68,1,female,3,17.0,4,2,7.925,S,-0.486649934661,-0.948952511522
69,0,male,3,26.0,2,0,8.6625,S,-0.471801801896,-0.255451310437
70,0,male,2,32.0,0,0,10.5,S,-0.434807301618,0.20688282362
71,0,female,3,16.0,5,2,46.9,S,0.298036132461,-1.02600820053
72,0,male,2,21.0,0,0,73.5,S,0.833575565057,-0.640729755484
73,0,male,3,26.0,1,0,14.4542,C,-0.355197150326,-0.255451310437
74,1,male,3,32.0,0,0,56.4958,S,0.491228962811,0.20688282362
75,0,male,3,25.0,0,0,7.65,S,-0.492186526539,-0.332506999446
76,0,male,3,28.0,0,0,7.8958,S,-0.487237820053,-0.101339932418
77,0,male,3,28.0,0,0,8.05,S,-0.484133301989,-0.101339932418
78,1,male,2,0.83,0,2,29.0,S,-0.0623456661658,-2.19494300281
79,1,female,3,30.0,0,0,12.475,S,-0.395044505401,0.0527714456014
